epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,518.659,0.98391,0.63128,1.02482,0.84214,0.89239,0.91478,0.64392,1.00356,0.70497,1.06745,0.000121125,0.000121125,0.000121125
59,526.937,0.99019,0.65202,1.01886,0.88459,0.89376,0.9233,0.65498,1.00666,0.69439,1.06798,0.000118372,0.000118372,0.000118372
60,536.104,0.97502,0.63207,1.01824,0.88428,0.90555,0.9267,0.65767,1.0048,0.66845,1.06752,0.00011562,0.00011562,0.00011562
61,545.401,0.9618,0.61471,1.00915,0.87697,0.88819,0.92335,0.64475,1.03187,0.67141,1.07968,0.000112868,0.000112868,0.000112868
62,553.561,0.94501,0.62469,1.01218,0.89097,0.90893,0.93923,0.65727,1.01903,0.6524,1.07244,0.000110116,0.000110116,0.000110116
63,562.658,0.95158,0.60096,1.00793,0.8806,0.87577,0.9213,0.65026,1.0184,0.69196,1.07119,0.000107364,0.000107364,0.000107364
64,571.263,0.94695,0.60903,1.00415,0.87276,0.89937,0.92865,0.64479,1.0423,0.70324,1.08256,0.000104611,0.000104611,0.000104611
65,580.012,0.95032,0.60068,1.00834,0.82973,0.85226,0.89846,0.6367,1.02053,0.71788,1.07041,0.000101859,0.000101859,0.000101859
66,589.211,0.91978,0.59468,1.00259,0.87672,0.90038,0.92899,0.65602,1.01478,0.66254,1.07217,9.9107e-05,9.9107e-05,9.9107e-05
67,597.401,0.95265,0.59997,1.01067,0.87409,0.9052,0.92288,0.64907,1.02496,0.66244,1.0721,9.63548e-05,9.63548e-05,9.63548e-05
68,606.557,0.94418,0.60877,1.00538,0.87691,0.90752,0.93155,0.65844,1.01755,0.64564,1.06939,9.36026e-05,9.36026e-05,9.36026e-05
69,615.557,0.93026,0.59036,1.00832,0.8754,0.89119,0.91619,0.64187,1.04073,0.68223,1.07763,9.08504e-05,9.08504e-05,9.08504e-05
70,624.018,0.94215,0.58705,1.0006,0.8396,0.86505,0.88756,0.62021,1.02571,0.75451,1.06924,8.80982e-05,8.80982e-05,8.80982e-05
71,633.161,0.93713,0.59356,1.00641,0.87992,0.89206,0.91122,0.63871,1.02923,0.71165,1.07679,8.5346e-05,8.5346e-05,8.5346e-05
72,641.482,0.92737,0.58667,1.00041,0.88007,0.89569,0.92012,0.64282,1.03161,0.68216,1.07751,8.25938e-05,8.25938e-05,8.25938e-05
73,650.517,0.94676,0.58966,1.00877,0.86445,0.89855,0.91661,0.6355,1.03516,0.70483,1.07807,7.98416e-05,7.98416e-05,7.98416e-05
74,659.775,0.94384,0.57636,1.00222,0.8595,0.871,0.89621,0.63223,1.02166,0.76716,1.07661,7.70894e-05,7.70894e-05,7.70894e-05
75,667.964,0.91928,0.57746,0.99956,0.88311,0.8903,0.91869,0.63973,1.03578,0.68786,1.08475,7.43372e-05,7.43372e-05,7.43372e-05
76,677.176,0.9126,0.57216,1.00057,0.86352,0.88334,0.91214,0.64125,1.01248,0.6896,1.07483,7.1585e-05,7.1585e-05,7.1585e-05
77,686.381,0.91451,0.56764,1.00133,0.86134,0.88914,0.90867,0.64236,1.0187,0.71285,1.07294,6.88328e-05,6.88328e-05,6.88328e-05
78,694.886,0.9162,0.56173,0.9915,0.87227,0.89579,0.92158,0.65594,1.01117,0.68859,1.06869,6.60806e-05,6.60806e-05,6.60806e-05
79,703.993,0.92401,0.56202,0.99604,0.90739,0.90954,0.9316,0.65964,1.00969,0.62876,1.07226,6.33284e-05,6.33284e-05,6.33284e-05
80,712.381,0.9305,0.57024,0.99094,0.86011,0.87054,0.90026,0.63186,1.02091,0.72152,1.07711,6.05762e-05,6.05762e-05,6.05762e-05
81,721.28,0.92457,0.57179,0.99604,0.88379,0.88867,0.92036,0.65211,1.01813,0.67237,1.07901,5.7824e-05,5.7824e-05,5.7824e-05
82,730.714,0.89476,0.54703,0.9866,0.90568,0.9087,0.946,0.66916,1.01546,0.61119,1.07034,5.50718e-05,5.50718e-05,5.50718e-05
83,739.164,0.91699,0.55681,0.99496,0.87882,0.89416,0.92201,0.65628,0.99931,0.6644,1.07163,5.23196e-05,5.23196e-05,5.23196e-05
84,748.361,0.89476,0.55155,0.98571,0.88511,0.88762,0.92068,0.65379,1.00993,0.65676,1.0747,4.95674e-05,4.95674e-05,4.95674e-05
85,757.426,0.89076,0.53825,0.98718,0.8899,0.89693,0.92895,0.66165,1.00378,0.64909,1.06921,4.68152e-05,4.68152e-05,4.68152e-05
86,765.916,0.93215,0.56572,0.99685,0.87149,0.88239,0.91208,0.65315,0.99257,0.69158,1.06404,4.4063e-05,4.4063e-05,4.4063e-05
87,775.032,0.88894,0.54088,0.986,0.8723,0.88394,0.914,0.65508,0.99782,0.68636,1.06306,4.13108e-05,4.13108e-05,4.13108e-05
88,783.47,0.90221,0.53271,0.98243,0.89915,0.90866,0.93546,0.66556,1.0025,0.63918,1.06751,3.85586e-05,3.85586e-05,3.85586e-05
89,792.478,0.9009,0.54588,0.99063,0.90317,0.91931,0.9408,0.6787,0.98052,0.60608,1.0648,3.58064e-05,3.58064e-05,3.58064e-05
90,801.774,0.86672,0.53429,0.97714,0.89911,0.90404,0.93242,0.6587,1.02586,0.6336,1.07757,3.30542e-05,3.30542e-05,3.30542e-05
91,811.339,0.8759,0.48279,0.99383,0.88316,0.89955,0.92832,0.66257,1.01525,0.64357,1.09149,3.0302e-05,3.0302e-05,3.0302e-05
92,820.203,0.84884,0.46486,0.98343,0.89041,0.88774,0.92837,0.6663,0.99849,0.6333,1.07686,2.75498e-05,2.75498e-05,2.75498e-05
93,829.172,0.84912,0.46506,0.9817,0.89778,0.89381,0.93051,0.66726,1.00375,0.62482,1.07448,2.47976e-05,2.47976e-05,2.47976e-05
94,837.224,0.84188,0.46855,0.98051,0.87877,0.89398,0.91998,0.65828,1.00585,0.64823,1.07588,2.20454e-05,2.20454e-05,2.20454e-05
95,845.988,0.82957,0.45068,0.97573,0.87286,0.9017,0.91933,0.65841,0.99559,0.65299,1.07336,1.92932e-05,1.92932e-05,1.92932e-05
96,853.911,0.82569,0.44958,0.9712,0.88682,0.90138,0.92504,0.66277,0.9995,0.63982,1.07424,1.6541e-05,1.6541e-05,1.6541e-05
97,862.616,0.82445,0.45067,0.97154,0.8879,0.90079,0.9269,0.6652,0.99908,0.64176,1.07375,1.37888e-05,1.37888e-05,1.37888e-05
98,871.473,0.82173,0.44995,0.97388,0.89899,0.89183,0.9267,0.6657,0.99524,0.6398,1.07315,1.10366e-05,1.10366e-05,1.10366e-05
99,879.455,0.81275,0.44513,0.9657,0.90489,0.89559,0.92901,0.66589,0.99557,0.63384,1.07181,8.2844e-06,8.2844e-06,8.2844e-06
100,888.335,0.82195,0.4484,0.97316,0.90191,0.89362,0.92964,0.6698,0.9919,0.63029,1.07005,5.5322e-06,5.5322e-06,5.5322e-06
